f,s,c,ibrain,stage
0.005848,0.0092484,0.010252,3,46
0.0056987,0.012174,0.0095464,3,46
0.0027088,0.0029178,0.0028843,3,46
0.002316,0.0024684,0.0033693,3,46
0.0040349,0.0052861,0.0064387,3,46
0.0028058,0.0033878,0.0037265,3,46
0.0020913,0.0017464,0.0022137,3,46
0.0021894,0.0024443,0.0030221,3,46
0.0018312,0.0018496,0.0024712,3,46
0.0047884,0.015232,0.016039,3,46
0.0027723,0.0034827,0.0041015,3,46
0.0037247,0.0067074,0.0054151,3,46
0.0060978,0.0056412,0.007524,3,46
0.0015531,0.0017224,0.0017866,3,46
0.003204,0.0061592,0.00612,3,46
0.00325,0.0034511,0.0041233,3,46
0.0043274,0.0043662,0.0057895,3,46
0.0027965,0.0032085,0.0028672,3,46
0.0053394,0.0053987,0.0052836,4,46
0.0099219,0.01615,0.014038,4,46
0.01232,0.015222,0.013458,4,46
0.0075003,0.0054338,0.0058397,4,46
0.006616,0.0060397,0.0067937,4,46
0.0041115,0.0043773,0.0040813,4,46
0.004091,0.0043013,0.0045561,4,46
0.011676,0.012019,0.014659,4,46
0.0064112,0.0072519,0.0078435,4,46
0.0067325,0.0061886,0.0078634,4,46
0.0094017,0.013496,0.014214,4,46
0.011155,0.011277,0.013538,4,46
0.0056343,0.0052568,0.0058238,4,46
0.003611,0.0038782,0.0040301,4,46
0.0033023,0.0035161,0.0036399,4,46
0.0033517,0.0040853,0.0046185,4,46
0.0092645,0.012571,0.013579,4,46
0.006635,0.0076835,0.0088474,4,46
0.006653,0.0063009,0.0077329,4,46
0.0065058,0.0060464,0.0075189,4,46
0.012126,0.012087,0.012458,4,46
0.0097089,0.009653,0.01043,4,46
0.0052233,0.0067805,0.0092964,4,46
0.0080106,0.013616,0.014798,4,46
0.0055573,0.0043795,0.0053135,4,46
0.0057116,0.0052856,0.0057242,4,46
0.0088722,0.0071485,0.0071629,4,46
0.0047364,0.0046166,0.0056865,4,46
0.0040947,0.0042987,0.0050716,4,46
0.0052016,0.0059078,0.006122,4,46
0.0047932,0.0050445,0.0053776,4,46
0.0093651,0.010736,0.013585,4,46
0.005117,0.00505,0.0057206,4,46
0.0067476,0.0085371,0.0083477,4,46
0.0090869,0.0098522,0.010349,4,46
0.0042563,0.0045448,0.0048207,4,46
0.0068473,0.0073281,0.0085903,4,46
0.0048999,0.0052422,0.0053302,4,46
0.0058204,0.0059881,0.0058984,4,46
0.0047507,0.0039431,0.0043155,4,46
0.0053511,0.0055731,0.0074995,4,46
0.0089643,0.0074591,0.0084946,4,46
0.0044056,0.0061743,0.0070877,4,46
0.0058858,0.0056171,0.0063179,4,46
0.0084722,0.0077819,0.009054,4,46
0.0053351,0.0046203,0.0045063,4,46
0.0036424,0.003549,0.0042782,4,46
0.0059419,0.0042223,0.0048432,4,46
0.0071989,0.006766,0.0060512,4,46
0.0045254,0.0042813,0.0055559,4,46
0.011066,0.013302,0.017002,4,46
0.0044826,0.0042771,0.0047226,4,46
0.0048,0.005334,0.0058453,4,46
0.0093218,0.010508,0.01127,4,46
0.0056879,0.0067398,0.0064919,4,46
0.0030779,0.0033063,0.0037548,4,46
0.0034208,0.0030221,0.0035956,4,46
0.003047,0.0037275,0.0037608,4,46
0.0054188,0.0062539,0.0060253,4,46
0.0099107,0.013472,0.013532,4,46
0.0079081,0.0091752,0.010435,4,46
0.010245,0.0079112,0.010038,4,46
0.010927,0.0091792,0.011442,4,46
0.0060935,0.0048236,0.0061123,4,46
0.0061947,0.0064107,0.0075113,4,46
0.0049509,0.0053942,0.0077244,4,46
0.0068803,0.0057548,0.0076455,4,46
0.0047703,0.0050172,0.0052171,4,46
0.0042534,0.0038154,0.0037301,4,46
0.0067441,0.0062278,0.0062476,4,46
