nexp, ncell, selFC, selSC, indegree, oudegree, katz, revkatz, clust, spiking, insel
3,103,0.49192,-0.16985,0.029614,0.034256,0.11321,0.11172,0,0.0046998,0.037163
3,104,0.65075,0.22063,0.069644,0.11985,0.13288,0.13891,0.0021368,0.0036032,0.075169
3,105,1.0557,0.50682,0.33975,0,0.26614,0.1,0.00309,0.011902,0.39205
3,108,0.33311,0.43221,0,0.082339,0.1,0.12285,0,0.0041277,0
3,111,0.87513,0.38582,0,0.031448,0.1,0.10909,0,0.0037468,0
3,114,1.2747,0.20062,0.11567,0.19932,0.16033,0.1623,0.0019213,0.008536,0.21111
3,115,1.7139,0.48463,0.14051,0.033976,0.16595,0.11007,0.0017079,0.0056461,0.1618
3,116,0.64987,0.36746,0.031434,0.071384,0.11096,0.12515,0,0.0083967,0.023482
3,118,0.32914,0.53437,0.078031,0.060093,0.12722,0.11805,0,0.0018238,0.048809
3,119,0.65943,-0.21633,0.073104,0.078607,0.12953,0.12314,0.0032119,0.0051764,0.089734
3,121,0.88937,0.28423,0.054804,0,0.11912,0.1,0,0.0036863,0.018256
3,123,0.82347,0.16886,0,0.026663,0.1,0.10912,0,0.0049964,0
3,124,1.1087,0.22434,0,0.11903,0.1,0.13717,0.0061569,0.0084494,0
3,125,1.1588,-0.51813,0.25804,0.11214,0.22102,0.13718,0.0038151,0.0091396,0.3295
3,127,0.54386,0.48151,0.12721,0.13631,0.15437,0.1385,0,0.0027179,0.05956
3,128,1.1102,0.56862,0.0484,0.036841,0.11688,0.11089,0,0.0052532,0.021976
3,133,1.8875,0.12615,0.10593,0,0.13925,0.1,0,0.01202,0.24637
3,135,0.49386,-0.29632,0.025416,0.2333,0.1162,0.17925,0.0017911,0.0052824,0.019696
3,136,0.32099,0.39557,0.13915,0,0.16762,0.1,0.0053195,0.006421,0.2129
3,138,1.1055,-0.0091065,0.030996,0,0.11081,0.1,0,0.0051611,0.028261
3,140,0.44027,0.43262,0,0.033149,0.1,0.11068,0,0.0048277,0
4,1,-0.019466,-0.040879,0,0.13348,0.1,0.12898,0,0.0053406,0
4,9,0.38066,0.14456,0.20523,0,0.13989,0.1,0.011296,0.0071688,0.024522
4,11,0.67954,0.10027,0.20789,0,0.13474,0.1,0,0.012371,0.079568
4,12,0.43163,0.39539,0.20044,0.076575,0.14139,0.11762,0.011803,0.01199,0.067232
4,13,0.071845,0.23654,0.13147,0.28352,0.1327,0.20257,0.021686,0.0055717,0.048172
4,18,0.48506,0.26113,0,0.075482,0.1,0.11513,0,0.007722,0
4,26,0.0032037,0.1048,0.26794,0,0.15923,0.1,0.027636,0.0055738,0.034163
4,28,0.30231,0.35596,0.28645,0,0.15828,0.1,0.017035,0.0050132,0.063764
4,30,0.23142,0.05423,0.28372,0.60883,0.15293,0.29125,0.008999,0.0057438,0.047572
4,33,0.19885,0.21515,0.06579,0.20669,0.11089,0.1439,0.0058286,0.0052959,0.025366
4,35,0.27111,0.13703,0.34398,0.065603,0.16822,0.11547,0.0071756,0.0097628,0.14713
4,36,0.385,0.17257,0.065018,0,0.10961,0.1,0,0.0045406,-0.0012656
4,37,0.54105,0.37763,0.27769,0.063953,0.14944,0.1148,0.0067992,0.0075886,0.091464
