ibrain,stage,cellid,x,y,dist,lat,ac,af,as,selfc,selsc
2,46,28,200,180,208.44,336,0.017671,0.011882,0.015642,1.8943,0.52774
2,46,29,220,156,235.03,336,0.011707,0.011083,0.011168,0.15319,0.11833
2,46,30,284,80,325.34,336,0.0068867,0.0042436,0.0072365,0.63649,-0.080918
2,46,31,128,64,216.58,336,0.017046,0.0090727,0.012465,1.7195,0.804
2,46,32,120,96,186.46,348,0.018467,0.012716,0.0148,1.2211,0.74588
2,46,33,40,324,94.202,336,0.0059131,0.0030541,0.003757,2.113,1.2693
2,46,34,264,392,305.27,396,0.0089355,0.0065214,0.0067698,0.96689,0.69544
2,46,35,296,416,345.03,360,0.0084693,0.0051424,0.0066396,1.1122,0.53149
2,46,36,272,460,350.64,336,0.0058259,0.0030108,0.0035984,1.0302,0.75612
2,46,37,224,364,256.66,276,0.007754,0.0048397,0.006135,1.598,0.69481
2,46,38,184,228,184.31,348,0.014892,0.010449,0.0092511,1.0397,1.3156
2,46,39,272,236,272.01,348,0.012161,0.0088249,0.010273,1.174,0.66425
2,46,40,260,200,262.86,324,0.008631,0.0070027,0.0086038,0.63159,0.0074473
2,46,41,124,160,146.87,324,0.013099,0.0084083,0.010409,1.3425,0.65607
2,46,42,152,224,152.71,240,0.01102,0.0099864,0.0073065,0.35851,1.2305
2,46,43,340,436,393.09,252,0.0084314,0.0047881,0.0076398,1.8539,0.34035
2,46,44,324,120,345.06,372,0.0052721,0.0028433,0.0034368,0.80332,0.54339
2,46,45,320,64,364.59,420,0.005861,0.0027565,0.0046175,1.0307,0.32297
2,46,46,408,76,439.25,432,0.0042453,0.0029657,0.0036783,0.47101,0.19115
2,46,47,176,416,249.81,240,0.012781,0.0087612,0.011121,1.9325,0.79675
2,46,48,176,448,273.45,420,0.0046675,0.0030235,0.0042334,1.894,0.36715
2,46,49,216,408,274.43,336,0.007013,0.0044393,0.0064576,1.9189,0.25683
2,46,50,160,380,213.45,420,0.0063425,0.0040293,0.0056562,1.77,0.38688
2,46,51,132,384,196.3,240,0.010746,0.0068333,0.0088324,1.7084,0.75514
2,46,52,100,400,189.77,336,0.0049139,0.0034894,0.0043011,1.4065,0.47822
2,46,53,136,424,229.84,348,0.0058465,0.0040878,0.0052261,1.2919,0.40933
2,46,54,148,452,259.61,324,0.0081855,0.005017,0.0071817,2.1507,0.56334
2,46,55,308,384,340.55,228,0.010931,0.0060804,0.0097755,3.159,0.63996
2,46,56,92,88,176.57,348,0.01438,0.0080184,0.011493,2.3395,0.82903
2,46,57,60,68,180.95,336,0.014598,0.0071894,0.011455,2.6062,0.88391
2,46,58,60,40,207.57,336,0.012706,0.0062616,0.0097998,2.6551,0.94475
2,46,59,240,32,316.75,336,0.011599,0.0068822,0.0095017,0.99093,0.36036
2,46,60,424,200,425.76,384,0.0030716,0.0025091,0.0026994,0.27165,0.19345
2,46,61,380,200,381.96,384,0.0043088,0.0022185,0.0034842,0.81799,0.28801
2,46,62,356,140,369.43,324,0.0028841,0.002201,0.0024566,0.41943,0.26607
2,46,63,352,172,358.26,408,0.0049703,0.0022807,0.0037683,0.92675,0.34486
2,46,64,344,364,366.1,348,0.0031608,0.0020746,0.0026595,1.2954,0.45526
2,46,65,284,356,307.26,540,0.0069022,0.0047842,0.0047637,0.84518,0.81132
2,46,66,256,352,279.94,372,0.0069356,0.0052295,0.0054628,0.90183,0.73166
2,46,67,304,468,380.77,372,0.0053259,0.0037275,0.0044299,0.93439,0.4091
2,46,68,340,464,407.86,384,0.0024029,0.0015397,0.0019841,1.269,0.53306
2,46,69,148,256,149,348,0.013462,0.0084998,0.0098073,1.0477,0.70291
2,46,70,148,296,158.7,348,0.0061428,0.0039273,0.0057028,1.6498,0.22162
2,46,71,160,340,189.36,360,0.0089263,0.0055892,0.0073663,1.0915,0.45543
2,46,72,108,356,159.44,324,0.010733,0.0072613,0.0092954,1.7241,0.63989
2,46,73,368,284,370.77,456,0.005417,0.0041407,0.0045941,0.45365,0.29225
2,46,74,424,328,433.3,336,0.0040424,0.0024886,0.0031099,0.82247,0.43809
2,46,75,368,256,368.4,360,0.0081142,0.0058488,0.0053609,0.61269,0.71303
2,46,76,308,148,321.08,420,0.0072054,0.0046413,0.0056747,0.65656,0.35648
2,46,77,280,160,290.85,360,0.011096,0.0051946,0.007563,1.1779,0.62966
2,46,78,288,184,293.15,324,0.0089522,0.0051869,0.0071233,0.81973,0.38246
2,46,79,240,444,315.82,408,0.0062405,0.0027082,0.0040814,1.0119,0.50736
2,46,80,180,136,207.24,312,0.016524,0.0096041,0.012831,2.1501,0.99849
2,46,81,320,92,352.03,516,0.004946,0.0029289,0.0033743,0.88462,0.643
2,46,82,120,280,126.9,336,0.0077835,0.004835,0.0071173,1.3659,0.25618
2,46,83,128,324,153.81,336,0.010077,0.0070138,0.0086913,1.8305,0.66673
2,46,84,80,356,141.97,336,0.0076831,0.0048842,0.007444,1.5578,0.085426
2,46,85,96,252,96.913,336,0.011032,0.0061475,0.0090832,1.3388,0.49263
2,46,86,236,244,236.06,336,0.0090791,0.0073478,0.00768,0.66938,0.43736
